APOGEE_ID,DDO51,DDO51ERR,M,MERR,T2,T2ERR
2M14595456+6748385,18.3529,0.028,18.2295,0.0212,16.178,0.0099
2M14595549+6647329,15.4691,0.0162,15.4773,0.0069,14.4936,0.0072
2M15001275+6645246,15.024,0.0161,15.0323,0.0068,13.2636,0.007
2M15004807+6806155,14.6102,0.0113,14.6395,0.0045,13.8091,0.0049
2M15004909+6644105,18.1199,0.0258,18.0797,0.0211,16.7316,0.013
2M15015203+6706228,14.9216,0.0157,14.9519,0.0066,14.1181,0.0072
2M15015637+6644450,17.4454,0.02,17.3224,0.0099,15.0372,0.0073
2M15020469+6648554,17.4487,0.0206,17.3022,0.0099,15.0872,0.0077
2M15021628+6715520,17.0145,0.017,17.0653,0.0089,15.8661,0.0081
2M15022550+6655249,17.6638,0.0129,17.7056,0.0082,16.2991,0.0065
2M15024126+6657178,17.6825,0.0132,17.7462,0.0082,16.1791,0.0063
2M15024728+6611176,18.103,0.0306,17.9589,0.0249,16.2544,0.0105
2M15024914+6734212,17.6994,0.018,17.7605,0.0113,16.3209,0.0093
2M15025728+6620332,17.7252,0.0217,17.7966,0.021,16.5894,0.013
2M15030074+6736060,15.4908,0.018,15.3729,0.007,13.9679,0.0072
2M15030656+6723166,17.8826,0.0137,17.9441,0.0088,16.5035,0.0071
2M15033095+6739387,17.9575,0.0214,17.8321,0.0113,16.1449,0.0087
2M15033636+6558483,15.8062,0.0107,15.8179,0.005,14.3526,0.0048
2M15033819+6744456,16.9307,0.0167,16.9848,0.0083,15.8219,0.0082
2M15034008+6618490,18.1112,0.0299,18.0077,0.0259,16.5184,0.0121
2M15034040+6655575,16.1952,0.0113,16.1758,0.0052,14.7014,0.0052
2M15035958+6645411,17.8835,0.0209,17.9552,0.0138,16.4592,0.0099
2M15041747+6651007,16.179,0.0183,16.0389,0.0073,14.6262,0.0073
2M15042987+6548230,17.4237,0.0214,17.2345,0.0111,15.0529,0.0069
2M15043661+6718538,17.7299,0.018,17.7929,0.0112,16.3591,0.0093
2M15043898+6702122,17.9738,0.0192,18.0421,0.0138,16.6591,0.0107
2M15044499+6756427,17.5111,0.0141,17.385,0.0068,15.5568,0.0054
2M15045598+6722315,17.5771,0.0142,17.4233,0.0065,15.1283,0.0053
2M15045773+6618316,18.4306,0.0338,18.3061,0.0298,16.2264,0.0105
2M15045841+6732479,18.5542,0.0238,18.4422,0.0174,16.8739,0.0115
2M15051638+6811507,16.3996,0.0176,16.3065,0.0074,14.9346,0.007
2M15052757+6628585,18.0805,0.0202,18.1364,0.0146,16.7712,0.0107
2M15054418+6727497,17.2276,0.0157,17.0096,0.006,15.0355,0.0052
2M15055198+6641297,17.2022,0.0168,17.2505,0.009,15.5772,0.0077
2M15055671+6655585,15.2309,0.011,15.2388,0.0048,14.3764,0.0052
2M15055746+6716376,17.8054,0.0127,17.8607,0.0075,16.4062,0.0061
2M15062084+6704039,17.5414,0.0104,17.5813,0.0055,16.0241,0.0046
2M15062489+6715577,17.8795,0.0113,17.9231,0.0065,16.5769,0.0054
2M15063038+6656411,17.8663,0.0096,17.9001,0.0057,16.4601,0.0044
2M15063871+6658396,17.9314,0.0088,17.9534,0.0053,16.4879,0.0042
2M15064337+6709126,17.0334,0.0122,17.0594,0.0059,15.269,0.0052
2M15070093+6701498,17.4926,0.0134,17.3927,0.006,15.926,0.0054
2M15070165+6800154,17.4307,0.0183,17.4725,0.0109,16.2822,0.009
2M15072259+6712010,18.2973,0.0125,18.3408,0.0079,16.976,0.0056
2M15073111+6751044,17.8274,0.0183,17.8585,0.0163,16.6516,0.0105
2M15073869+6713565,17.9884,0.0118,17.927,0.0064,16.057,0.0044
2M15075166+6808085,18.1225,0.0243,18.1171,0.0154,16.7322,0.0112
2M15075194+6629438,17.6871,0.0182,17.727,0.012,16.357,0.0092
2M15075464+6710445,18.1607,0.0133,18.2176,0.009,16.8103,0.0065
2M15075514+6707182,17.4416,0.0101,17.5032,0.0051,15.9005,0.0044
2M15080156+6615230,14.6233,0.016,14.6663,0.0064,13.8275,0.0069
2M15080203+6720391,18.2222,0.0131,18.2764,0.0084,16.8858,0.0065
2M15080497+6714007,17.5236,0.0102,17.5854,0.0054,15.9348,0.0044
2M15080533+6708336,17.6899,0.0107,17.7499,0.0058,16.3134,0.0047
2M15081004+6717248,17.208,0.0097,17.2673,0.0049,15.6093,0.0042
2M15081287+6823419,18.1191,0.0237,18.0805,0.0154,16.5842,0.0105
2M15081544+6711515,18.1823,0.012,18.2328,0.0075,16.9554,0.0056
2M15081657+6702533,18.0787,0.0117,18.1391,0.0069,16.747,0.0051
2M15082716+6710075,17.172,0.0096,17.2081,0.0047,15.4247,0.0042
2M15083543+6813404,16.4257,0.0198,16.2605,0.007,14.7102,0.007
2M15083566+6703409,17.5456,0.0101,17.5721,0.0054,16.0428,0.0044
2M15084142+6708445,17.9626,0.0115,18.0309,0.0067,16.6064,0.005
2M15084300+6643457,16.8952,0.0163,16.923,0.0083,15.593,0.0076
2M15084737+6556102,18.5081,0.0415,18.4557,0.0309,15.5735,0.0084
2M15085029+6710101,17.9105,0.0113,17.9768,0.0065,16.4967,0.0049
2M15085219+6712467,17.5186,0.0132,17.5993,0.0067,16.0152,0.0054
2M15085283+6721353,15.7232,0.0158,15.6643,0.0067,14.3396,0.0069
2M15085547+6715162,17.2193,0.0096,17.2342,0.0047,15.7468,0.0043
2M15085877+6731091,17.357,0.019,17.212,0.0104,15.3986,0.0075
2M15090098+6826445,14.8658,0.0157,14.9044,0.0062,14.1152,0.0068
2M15090823+6721107,18.1558,0.0127,18.2101,0.0084,16.8228,0.0065
2M15091286+6733110,18.0557,0.0199,18.0653,0.0164,16.6876,0.0098
2M15091378+6715333,16.4751,0.011,16.5154,0.0051,14.7382,0.005
2M15091488+6717449,17.6059,0.0097,17.6545,0.0054,16.1254,0.0044
2M15092839+6720121,18.0703,0.0133,18.1102,0.0084,16.6678,0.0064
2M15092863+6717053,17.4378,0.0095,17.4918,0.0051,15.9438,0.0044
