KEPLER_INT,2MASS_ID
892376,2M19241533+3638089
893214,2M19245967+3638183
1025494,2M19233673+3646021
1025986,2M19240808+3646157
1026180,2M19241923+3645378
1026309,2M19242636+3643594
1026452,2M19243452+3647244
1026669,2M19244620+3644254
1026957,2M19250107+3644370
1027030,2M19250480+3643424
1027110,2M19250937+3644599
1027337,2M19252021+3647118
1027707,2M19253846+3646103
1027900,2M19254767+3644073
1028246,2M19260469+3644033
1160655,2M19232193+3650379
1160684,2M19232466+3652089
1160789,2M19233280+3652207
1160986,2M19234825+3649476
1161345,2M19241171+3650235
1161447,2M19241746+3651460
1161618,2M19242614+3648478
1161949,2M19244272+3652284
1161965,2M19244347+3649352
1162036,2M19244752+3649583
1162051,2M19244852+3651034
1162220,2M19245791+3653298
1162746,2M19252639+3649116
1163114,2M19254564+3650475
1163359,2M19255838+3650557
1163453,2M19260321+3650022
1163621,2M19261297+3648265
1164274,2M19264469+3649135
1164301,2M19264606+3652530
1164584,2M19270165+3653106
1164590,2M19270198+3651464
1292427,2M19232202+3655518
1292798,2M19234914+3656175
1292834,2M19235200+3656466
1293521,2M19243639+3659472
1293551,2M19243817+3656445
1293835,2M19245288+3656081
1294122,2M19250718+3654252
1294385,2M19252149+3654097
1294756,2M19254134+3658166
1294953,2M19255205+3654506
1295427,2M19261502+3656578
1295475,2M19261751+3655516
1296068,2M19264481+3658152
1296110,2M19264653+3657564
1296507,2M19270812+3657217
1296779,2M19272164+3659509
1296817,2M19272418+3655090
1297263,2M19274764+3657074
1429505,2M19225688+3702125
1429589,2M19230150+3705233
1430163,2M19233322+3705216
1430199,2M19233608+3701020
1430227,2M19233769+3705478
1430666,2M19240613+3704297
1430741,2M19241064+3705452
1430912,2M19242178+3702439
1430985,2M19242600+3704281
1431059,2M19243068+3701290
1431122,2M19243419+3703407
1431316,2M19244589+3700449
1431599,2M19250117+3705112
1432047,2M19252409+3700362
1432587,2M19254985+3701028
1432745,2M19255715+3704231
1432789,2M19255986+3703334
1433477,2M19263655+3701210
1433593,2M19264298+3704199
1433628,2M19264466+3702251
1433730,2M19265020+3703054
1433735,2M19265049+3705397
1433803,2M19265417+3702187
1434259,2M19271769+3701059
1434277,2M19271848+3704506
1434326,2M19272140+3705464
1434395,2M19272555+3703563
1434583,2M19273619+3702482
1434591,2M19273680+3705295
1435467,2M19281984+3703353
1435573,2M19282646+3705369
1435717,2M19283271+3702337
1435930,2M19284420+3705035
1569823,2M19222790+3711159
1569842,2M19222920+3710285
1569969,2M19223513+3710487
1570026,2M19223855+3707415
1570924,2M19232726+3707337
1570929,2M19232742+3707411
1571088,2M19233733+3706048
1571298,2M19234758+3708163
1571511,2M19235925+3711571
1571780,2M19241413+3711431
1572049,2M19242968+3711000
1572175,2M19243591+3706204
1572201,2M19243729+3707515
1572317,2M19244352+3711034
1572762,2M19250855+3709411
1572780,2M19250971+3708188
1572948,2M19251859+3707361
1573138,2M19252749+3706115
1574272,2M19262225+3708194
1574361,2M19262626+3708262
1574646,2M19263978+3706456
1575570,2M19272629+3710377
1575580,2M19272674+3710176
1575886,2M19274289+3709135
1576043,2M19275029+3706248
1576144,2M19275519+3710322
1576420,2M19280785+3711580
1576469,2M19281017+3706444
1577912,2M19292010+3710480
1578131,2M19293087+3709477
1717618,2M19222314+3712209
1717722,2M19222831+3717207
1717783,2M19223131+3716240
1718046,2M19224837+3716042
1718189,2M19225488+3715095
1718360,2M19230449+3713489
1718585,2M19231883+3713171
1718943,2M19233992+3714493
1718958,2M19234063+3717138
1719065,2M19234795+3712483
1719262,2M19235972+3717245
1719297,2M19240173+3716003
1719422,2M19240872+3712254
1719472,2M19241222+3714274
1720241,2M19245928+3714304
1720425,2M19251052+3715499
1720810,2M19253307+3714575
1721157,2M19254976+3712246
1721512,2M19260900+3713435
1722276,2M19264720+3714169
1723047,2M19272602+3717271
1723191,2M19273427+3712219
1723617,2M19275563+3713513
1723656,2M19275728+3715158
1723752,2M19280136+3717594
1723843,2M19280451+3713548
1724096,2M19281913+3717252
1724355,2M19283090+3716083
1724719,2M19284912+3713163
1724872,2M19285599+3715409
1724879,2M19285611+3716229
1724975,2M19290115+3715011
1725016,2M19290309+3714131
1725183,2M19291023+3716038
1725190,2M19291057+3713306
1725193,2M19291063+3715422
1725552,2M19292749+3717501
1725626,2M19293101+3717410
1725732,2M19293659+3713410
1725815,2M19293996+3716306
1725952,2M19294716+3717451
1726211,2M19300107+3717340
1726245,2M19300260+3715187
1726291,2M19300513+3717470
1864124,2M19215211+3722296
1864183,2M19215572+3722208
1864258,2M19215994+3721449
1864855,2M19223280+3720441
1865042,2M19224373+3721184
1865262,2M19225594+3722386
1865325,2M19225967+3721244
1865567,2M19231341+3722243
1865595,2M19231500+3723566
1865744,2M19232331+3720190
1865747,2M19232346+3722342
1865864,2M19232953+3721438
1865910,2M19233225+3719585
1866137,2M19234484+3723424
1866174,2M19234709+3723533
1866734,2M19241951+3720081
1866778,2M19242225+3721404
1867078,2M19244109+3720575
1867706,2M19251940+3718402
1868101,2M19253987+3722022
1868303,2M19255069+3719215
1868918,2M19262515+3718461
1869817,2M19271097+3718498
1870057,2M19272446+3719265
1870196,2M19273132+3720509
1870225,2M19273245+3722047
1870385,2M19273932+3720518
1870398,2M19273973+3719213
1870433,2M19274155+3720066
1871056,2M19281070+3722344
1871148,2M19281490+3720112
1871314,2M19282389+3723239
