KIC_ID,2MASS_ID,ES_AST,ES_SP,CAT,LOGG_SEIS,SIG_LOGG_SEIS,dlogg,NUMAX_WTCOR,SIG_NUM_WTCOR,TEFF_FIT,TEFF_COR,TEFF_COR_ERR,LOGG_FIT,LOGG_COR,LOGG_COR_ERR,FE_H_ADOP_FIT,FE_H_ADOP_COR,FE_H_ADOP_COR_ERR,ALP_FE_ADOP_FIT,ALP_FE_ADOP_COR,ALP_FE_ADOP_COR_ERR,FE_H_RAW,C_M_RAW,N_M_RAW,C_N_RAW,Delta_T
8517308,2M19550016+4435356,-1,1,1,0.631661605,0.006069697,-0.262788945,0.598,0.0111,3743,3852.7136,66.617195,0.97964,0.89445055,0.05561283,-0.49877,-0.49833155,0.00948578,0.25818,0.22468899,0.008579743,-0.49877,0.13164,0.19372,-0.06208,-97.14817166
11294667,2M19222597+4904028,-1,1,1,0.824812459,0.006096342,-0.160558891,0.9289,0.0111,3775.6,3889.525,68.04256,1.0573,0.98537135,0.057581447,-0.59728,-0.5968416,0.009794824,0.28512,0.251629,0.009063977,-0.59728,0.11809,0.1354,-0.01731,-139.6339554
5284269,2M19374056+4029591,-1,1,1,0.838081559,0.005962329,0.124004919,0.9751,0.0111,3642.2,3733.2646,61.44413,0.85799,0.71407664,0.04815241,-0.062531,-0.06209255,0.008080495,0.12448,0.090989,0.00669498,-0.062531,0.028613,0.27027,-0.241657,18.41208958
6528744,2M19351654+4158005,-1,1,1,0.842949486,0.005961987,-0.098835854,0.9749,0.0111,3726.3,3816.2212,62.79922,1.0893,0.94178534,0.04872867,-0.035778,-0.03533955,0.00757277,0.08147,0.047978997,0.006465509,-0.035778,0.0095141,0.33299,-0.3234759,-41.45169666
6224313,2M19480675+4131278,-1,1,1,0.846730527,0.004385944,-0.011020373,0.9704,0.004,3827,3938.5715,73.75451,0.93709,0.8577509,0.05609176,-0.54223,-0.54179156,0.010610671,0.10587,0.072379,0.009644367,-0.54223,-0.0015726,0.23022,-0.2317926,-71.49369432
5308666,2M19581352+4027370,-1,1,1,0.847376748,0.004211839,-0.152644452,0.9689,0.004,3850.3,3956.5874,70.56159,1.096,1.0000212,0.05513168,-0.41862,-0.41818154,0.009200021,0.095706,0.062215,0.008440634,-0.41862,-0.041463,0.31469,-0.356153,-119.9906082
11414421,2M19475589+4913168,-1,1,1,0.847639662,0.00603075,0.056123562,0.9836,0.0111,3740.6,3843.291,65.30487,0.89882,0.7915161,0.053108394,-0.33449,-0.33405155,0.008739524,0.13627,0.102779,0.007754871,-0.32816,0.014125,0.24143,-0.227305,-28.66974937
4174532,2M19415506+3915211,-1,1,1,0.854157362,0.005968467,0.214414762,1.0061,0.0111,3684.1,3775.84,62.327183,0.78153,0.6397426,0.048831165,-0.078324,-0.077885546,0.007934012,0.092421,0.058930002,0.006696443,-0.078324,0.023408,0.28251,-0.259102,88.61254935
9491339,2M20014033+4603466,-1,1,1,0.857821798,0.006017122,0.142018648,1.0131,0.0111,3695.2,3796.0098,64.10137,0.82903,0.71580315,0.051920645,-0.29049,-0.29005155,0.008775816,0.15696,0.123468995,0.007616557,-0.29049,0.015337,0.20583,-0.190493,-5.757713639
6358968,2M19202460+4143090,-1,1,1,0.858549764,0.006042097,-0.037604236,1.0067,0.0111,3754.9,3859.454,65.91704,0.99759,0.896154,0.053930648,-0.37808,-0.37764156,0.008863797,0.25318,0.219689,0.007945161,-0.37808,0.13367,0.26609,-0.13242,-61.28512894
