2M17154404+4315135   2.273 M92
2M17162228+4258036   1.981 M92
2M17163427+4307363   1.616 M92
2M17163748+4306155   0.697 M92
2M17163772+4308411   1.632 M92
2M17164330+4304161   2.117 M92
2M17164395+4307318   1.999 M92
2M17164791+4306160   2.062 M92
2M17164984+4310412   1.092 M92
2M17165035+4305531   1.855 M92
2M17165118+4306434   1.858 M92
2M17165185+4308031   1.853 M92
2M17165519+4301588   2.101 M92
2M17165551+4305034   1.772 M92
2M17165557+4309277   0.915 M92
2M17165612+4304073   1.736 M92
2M17165620+4306121   2.104 M92
2M17165652+4308156   1.838 M92
2M17165738+4307236   0.855 M92
2M17165772+4314115   1.406 M92
2M17165883+4315116   1.492 M92
2M17165956+4306456   1.961 M92
2M17165963+4313309   1.646 M92
2M17165967+4301058   2.054 M92
2M17165994+4309307   1.767 M92
2M17170033+4311478   1.690 M92
2M17170043+4305117   1.665 M92
2M17170351+4306147   1.666 M92
2M17170394+4302031   2.071 M92
2M17170538+4309100   1.851 M92
2M17170588+4310171   1.282 M92
2M17170647+4306029   1.827 M92
2M17170709+4309362   1.654 M92
2M17170731+4309308   1.262 M92
2M17170807+4310448   1.380 M92
2M17170908+4308398   1.656 M92
2M17171043+4311076   0.802 M92
2M17171140+4306027   2.047 M92
2M17171221+4302209   2.051 M92
2M17171307+4309483   0.882 M92
2M17171342+4308305   0.827 M92
2M17171412+4310462   0.878 M92
2M17171467+4306248   1.188 M92
2M17171531+4309465   1.798 M92
2M17171551+4304594   2.044 M92
2M17171654+4310449   1.244 M92
2M17171793+4305439   2.074 M92
2M17171824+4309313   1.741 M92
2M17171908+4312546   2.354 M92
2M17171967+4314422   1.913 M92
2M17172124+4308270   1.366 M92
2M17172157+4307408   1.467 M92
2M17172161+4306159   2.067 M92
2M17172166+4311031   1.912 M92
2M17172238+4306563   2.054 M92
2M17172876+4310028   2.128 M92
2M17172901+4306551   2.218 M92
2M17172951+4312147   2.076 M92
2M17172969+4308471   2.442 M92
2M17173171+4305415   1.066 M92
2M17173700+4306458   2.137 M92
2M17180472+4310162   2.257 M92
2M21290515+1159398   1.757 M15
2M21290843+1209118   1.080 M15
2M21291235+1210498   1.097 M15
2M21291305+1211149   1.655 M15
2M21291739+1216365   1.719 M15
2M21292096+1213212   2.098 M15
2M21293067+1210374   2.390 M15
2M21293076+1206327   1.973 M15
2M21293312+1212509   1.967 M15
2M21293353+1204552   1.575 M15
2M21293462+1203191   1.870 M15
2M21293507+1206037   2.034 M15
2M21293530+1214083   1.455 M15
2M21293586+1208272   2.021 M15
2M21293646+1203548   2.148 M15
2M21293711+1213408   2.584 M15
2M21293799+1211581   1.962 M15
2M21293871+1211530   1.416 M15
2M21293943+1218209   2.237 M15
2M21294003+1216002   2.070 M15
2M21294015+1205189   2.377 M15
2M21294295+1209534   2.023 M15
2M21294351+1210033   1.593 M15
2M21294359+1215473   1.491 M15
2M21294377+1208332   1.572 M15
2M21294465+1207307   1.245 M15
2M21294465+1207307   1.249 M15
2M21294581+1208455   1.271 M15
2M21294607+1211315   1.629 M15
2M21294669+1203206   1.943 M15
2M21294693+1208265   1.817 M15
2M21294786+1208453   1.312 M15
2M21294841+1209195   2.081 M15
2M21294852+1220199   2.429 M15
2M21294862+1211457   1.493 M15
2M21294979+1211058   0.770 M15
2M21294992+1218121   2.096 M15
2M21294993+1208052   1.101 M15
2M21294994+1214069   2.105 M15
2M21295009+1215424   2.605 M15
2M21295028+1209027   1.554 M15
2M21295051+1220182   1.753 M15
2M21295082+1211301   1.069 M15
2M21295141+1156499   2.207 M15
2M21295145+1208105   1.688 M15
2M21295162+1212042   2.093 M15
2M21295243+1207585   1.917 M15
2M21295267+1204399   2.139 M15
2M21295311+1212310   1.228 M15
2M21295330+1204202   2.485 M15
2M21295357+1209106   1.088 M15
2M21295443+1211025   1.135 M15
2M21295469+1201058   2.490 M15
2M21295492+1213225   0.646 M15
2M21295505+1202484   1.758 M15
2M21295519+1211432   1.845 M15
2M21295529+1216078   2.484 M15
2M21295560+1212422   1.065 M15
2M21295560+1212422   1.070 M15
2M21295562+1210455   0.620 M15
2M21295618+1212337   0.811 M15
2M21295670+1205495   2.286 M15
2M21295672+1213105   1.673 M15
2M21295742+1208215   1.712 M15
2M21295801+1214260   1.830 M15
2M21295856+1209214   0.622 M15
2M21295859+1208080   1.779 M15
2M21295931+1209116   0.639 M15
2M21295984+1209257   0.977 M15
2M21300033+1210508   0.782 M15
2M21300038+1207363   1.147 M15
2M21300038+1207363   1.155 M15
2M21300053+1211369   1.525 M15
2M21300090+1208571   0.664 M15
