id            cl    vrad    teff    logg    feh    cfe    nfe    ofe    mgfe    alfe    sife    cafe    tife    pop limit    rah ram ras decd decm decs J    H    K
2M21301565+1208229    M15    -104.5    4836    1.56    -2.12    9999    9999    9999    0.16    -0.06    0.35    0.19    9999    1   0        21 30 15.65 +12 08 22.9    12.061 11.520 11.408
2M21301606+1213342    M15    -108.3    4870    1.64    -2.31    9999    9999    9999    0.10    0.57    0.46    0.53    9999    2   0       21 30 16.06 +12 13 34.2     12.415 11.860 11.772
2M21304412+1211226    M15    -102.7    4715    1.28    -2.12    9999    9999    9999    -0.45    0.63    0.60    0.35    9999    2   0       21 30 44.12 +12 11 22.6     11.496 10.930 10.807
2M21290843+1209118    M15    -106.0    4607    1.03    -2.07    9999    9999    9999    -0.11    0.75    0.41    9999    9999    2   0       21 29 08.43 +12 09 11.8     11.368 10.730 10.645
2M21294979+1211058    M15    -107.6    4375    0.56    -2.31    -0.44    0.95    0.44    0.17    0.64    0.44    0.06    9999    2   1       21 29 49.79 +12 11 05.8     10.745 10.050 9.944 
2M21295618+1212337    M15    -104.7    4616    1.09    -2.18    9999    9999    9999    0.11    0.66    0.44    -0.05    0.17    2   0       21 29 56.18 +12 12 33.7     10.759 10.144 10.039
2M21295678+1210269    M15    -124.8    4518    0.86    -2.31    -0.36    1.36    0.66    0.34    0.53    0.47    0.29    0.14    2   1       21 29 56.78 +12 10 26.9     10.276 9.678 9.524     
2M21300038+1207363    M15    -97.0    4719    1.28    -2.30    9999    9999    9999    0.31    0.36    0.48    9999    9999    2   0       21 30 00.38 +12 07 36.3     11.535 10.940 10.847
2M21300274+1210438    M15    -108.7    4548    0.93    -2.32    9999    9999    9999    0.31    0.74    0.51    0.10    0.27    2   0       21 30 02.74 +12 10 43.8     10.469 9.860 9.727     
2M21300637+1206592    M15    -106.1    4798    1.47    -2.30    9999    9999    9999    -0.06    1.04    0.56    9999    9999    2   0       21 30 06.37 +12 06 59.2     11.364 10.829 10.700
2M21301049+1210061    M15    -97.8    4638    1.09    -2.32    9999    9999    9999    0.01    1.14    0.67    9999    9999    2   0       21 30 10.49 +12 10 06.1     11.151 10.560 10.438
2M21291235+1210498    M15    -111.2    4509    0.86    -2.31    -0.18    1.02    0.20    -0.13    1.04    0.63    0.38    0.22    2   1       21 29 12.35 +12 10 49.8     11.411 10.775 10.656
2M21295572+1211338    M15    -94.6    4594    1.03    -2.27    9999    9999    9999    0.25    0.63    0.45    9999    0.03    2   0       21 29 55.72 +12 11 33.8     11.042 10.452 10.315
