"star" "Apogee_id" "teff" "terr_err" "logg" "logg_err" "feh" "feh_err"
"1" "k00245" "2M18561431+4431052" 5410 11 4.55 0.02 -0.32 0.01
"2" "k01925" "2M19344300+4651099" 5418 18 4.48 0.06 0.07 0.01
"3" "k01612" "2M18590868+4825236" 6167 35 4.32 0.09 -0.19 0.02
"4" "k00069" "2M19254039+3840204" 5646 21 4.5 0.04 -0.14 0.01
"5" "k00082" "2M18455585+4712289" 4849 49 4.51 0.08 0.03 0.02
"6" "k00975" "2M19092683+3842505" 6227 42 4 0.03 -0.1 0.01
"7" "k02687" "2M19302763+4245513" 5800 22 4.55 0.06 0.04 0.01
"8" "k00261" "2M19481670+4031304" 5777 11 4.54 0.04 0.08 0.01
"9" "k01964" "2M19224888+4336259" 5548 22 4.48 0.04 0.03 0.02
"10" "k00246" "2M19240775+4902249" 5866 11 4.37 0.07 0.13 0.01
"11" "k03246" "2M19174175+4643342" 4822 53 4.6 0.08 0.06 0.02
"12" "k01781" "2M19102533+4931237" 4800 46 4.54 0.06 0.11 0.02
"13" "k00365" "2M19495685+4937244" 5540 15 4.54 0.01 -0.13 0.01
"14" "k00364" "2M19432935+4252521" 5875 22 4.31 0.08 0.27 0.01
"15" "k00958" "2M19250107+3644370" 4925 39 4.37 0.14 -0.09 0.02
"16" "k02678" "2M19293325+4213597" 5377 51 4.53 0.14 -0.07 0.03
"17" "k00072" "2M19024305+5014286" 5698 18 4.37 0.08 -0.13 0.01
"18" "k00367" "2M18575331+3954425" 5761 31 4.46 0.1 0.19 0.02
"19" "k02173" "2M19491018+4958538" 4885 39 4.5 0.06 0.01 0.02
"20" "k00104" "2M18444674+4729496" 4777 78 4.4 0.17 0.22 0.03
"21" "k03871" "2M18484762+4631130" 5203 39 4.51 0.04 0.02 0.02
"22" "k00315" "2M19490525+4319599" 4990 46 4.5 0.07 -0.27 0.02
"23" "k03835" "2M19304566+3750059" 5046 36 4.57 0.06 -0.06 0.02
"24" "k00305" "2M19492496+4118001" 4844 49 4.32 0.2 0.11 0.02
"25" "k04399" "2M18483092+4418113" 5509 29 4.56 0.04 -0.06 0.02
"26" "k00974" "2M19431264+4559170" 6399 90 4.14 0.17 -0.11 0.05
"27" "k00280" "2M19064546+3912428" 6150 63 4.59 0.07 -0.26 0.04
"28" "k03224" "2M18451858+4735055" 5327 29 4.56 0.05 0.05 0.02
"29" "k02720" "2M19414552+4402209" 6035 21 4.11 0.01 -0.16 0.02
"30" "k00001" "2M19071403+4918590" 5856 33 4.44 0.09 0 0.02
"31" "k01797" "2M19432625+4756222" 4923 56 4.49 0.08 0.07 0.02
"32" "k01726" "2M19394922+4408593" 5065 43 4.33 0.14 -0.02 0.02
"33" "k00084" "2M19214099+3751064" 5563 18 4.52 0.03 -0.07 0.02
"34" "k04287" "2M19214999+4839409" 6134 98 4.01 0.1 -0.2 0.05
"35" "k07587" "2M19252613+4356124" 5836 26 4.63 0.03 0.09 0.02
"36" "k02672" "2M19443187+4858386" 5655 26 4.63 0.07 0.13 0.02
"37" "k03168" "2M19091556+3932174" 5834 25 4.02 0.07 -0.2 0.02
"38" "k03225" "2M19184121+3817523" 5382 25 4.47 0.06 0.16 0.02
"39" "k00257" "2M18583244+4043113" 6228 65 4.38 0.14 0.09 0.04
"40" "k00283" "2M19140739+4056322" 5765 11 4.51 0.01 0.16 0.01
"41" "k00273" "2M19095484+3813438" 5723 25 4.45 0.08 0.28 0.01
"42" "k00260" "2M19172334+4412307" 6252 63 4.15 0.06 -0.25 0.02
