

#Apogee2N fields that have a -S southern counterpart (e.g. 300+75-S) but they don’t have the corresponding -N suffix (and they also overlap with Apogee1)

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
         000+08     5128               bulge      2    258.900400  -24.561300  Ap1/2N_overlap_same_coords&Missing-N               000+08-N   Apogee2N
         300+75     5122                halo      4    192.083600   12.146000  Ap1/2N_overlap_same_coords&Missing-N               300+75-N   Apogee2N

#Fields that belong to the same (external) program and have the same field name which can make worth adding a letter before the -O suffix to distinguish them

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
       003-02-O     5408       kollmeier_17a      1    269.652870  -27.520780  overlap_in_same_program                           003-02a-O   Apogee2S
       003-02-O     5409       kollmeier_17a      1    270.333590  -27.330010  overlap_in_same_program                           003-02b-O   Apogee2S
       003-02-O     5725       kollmeier_17a      1    270.332430  -27.329170  overlap_in_same_program                           003-02c-O   Apogee2S#These are actually the same field but I used different location ids
       349+22-O     5785        weinberg_17a      2    239.866600  -24.111060  overlap_in_same_program                           349+22a-O   Apogee2S
       349+22-O     5998        weinberg_17a      2    240.088000  -23.731690  overlap_in_same_program                           349+22b-O   Apogee2S
       355+23-O     5334        weinberg_17a      6    242.739410  -18.772260  overlap_in_same_program                           355+23a-O   Apogee2S
       355+23-O     5659        weinberg_17a      1    243.024980  -19.062330  overlap_in_same_program                           355+23b-O   Apogee2S

#The southern version of M67 is not actually repeated but there are 2 Apogee2N versions so we might want to use something like M67-N-RV M67-N-btx and M67-S
#to indicate hemispheres (and to distinguish the southern version with the Apogee1 version)

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
            M67     5653          cluster_oc      2    132.811520   11.502370  Ap1/2S_overlap_diff_coords&2N_with_diff_name          M67-S   Apogee2S
         M67-RV     5552                 anc      2    132.829800   11.798500  Ap2N/2S_overlap_but_with_diff_name                 M67-N-RV   Apogee2N
        M67_btx     6210             cal_btx     24    133.043000   11.825200  Ap2N/2S_overlap_but_with_diff_name                M67-N-btx   Apogee2N

#Fields that are not actually duplicated but that have -N and -S not indicating telescope which can be confusing and might be worth using the full cardinal point name
#for these 

#    Fieldname     LocID       Design_type    ndesigns      RA         Dec     reason_of_duplication                      Suggested_New_Name  Survey 
         SA57-N     5726                 anc      1    197.155400   30.485300  -N_not_indicating_hemisphere*                     SA57-dir_N   Apogee2N
         SA57-S     5727                 anc      1    197.159500   28.285300  -S_not_indicating_hemisphere*                     SA57-dir_S   Apogee2N
         SA57-E     5728                 anc      1    198.420800   29.387100  -E_indicating_East*                               SA57-dir_E   Apogee2N
         SA57-W     5729                 anc      1    195.894200   29.383600  -W_indicating_West*                               SA57-dir_W   Apogee2N


#Inconsistencies in NGC vs N prefix. All these used the "N"n prefix in the Apogee1 observations

#     Fieldname      LocID          Design_type   ndesigns     RA         Dec           reason_of_duplication                Suggested_New_Name   Survey 
        NGC188_btx     5923                 cal      6       8.38785   84.85665  prefix_NGC_inconsistent_with_Apogee1          N188_btx     Apogee2N
       NGC2420_btx     6043                 cal      6     114.59580   21.00000  prefix_NGC_inconsistent_with_Apogee1          N2420_btx    Apogee2N
       NGC2632_btx     6042                 cal      4     130.02700   19.65960  prefix_NGC_inconsistent_with_other_Apogee2N*  N2420_btx    Apogee2N
       NGC6791_btx     5920                 cal      3     290.42446   37.41002  prefix_NGC_inconsistent_with_Apogee1          N6791_btx    Apogee2N
       NGC6791_MGA     -999               manga      0     291.00000   37.90000  prefix_NGC_inconsistent_with_Apogee1          N6791_MGA    Apogee2N
       NGC7789_btx     5922                 cal      3     359.35000   56.70830  prefix_NGC_inconsistent_with_Apogee1          N7789_btx    Apogee2N
       NGC7789_MGA     -999               manga      0     359.35000   56.20000  prefix_NGC_inconsistent_with_Apogee1          N7789_MGA    Apogee2N


