# Wavelength Field  x y rms
1.5800 1.0000 -17.9909 -4.0240 0.0070
1.5800 2.0000 -8.9925 -4.0343 0.0060
1.5800 3.0000 -0.0000 -4.0378 0.0057
1.5800 4.0000 8.9925 -4.0343 0.0060
1.5800 5.0000 17.9909 -4.0240 0.0070
1.5810 1.0000 -17.9913 -4.6094 0.0068
1.5810 2.0000 -8.9927 -4.6195 0.0059
1.5810 3.0000 -0.0000 -4.6230 0.0056
1.5810 4.0000 8.9927 -4.6195 0.0059
1.5810 5.0000 17.9913 -4.6094 0.0068
1.5820 1.0000 -17.9918 -5.1961 0.0067
1.5820 2.0000 -8.9929 -5.2060 0.0058
1.5820 3.0000 -0.0000 -5.2095 0.0056
1.5820 4.0000 8.9929 -5.2060 0.0058
1.5820 5.0000 17.9918 -5.1961 0.0067
1.5830 1.0000 -17.9923 -5.7840 0.0066
1.5830 2.0000 -8.9932 -5.7938 0.0057
1.5830 3.0000 -0.0000 -5.7971 0.0055
1.5830 4.0000 8.9932 -5.7938 0.0057
1.5830 5.0000 17.9923 -5.7840 0.0066
1.5840 1.0000 -17.9928 -6.3732 0.0065
1.5840 2.0000 -8.9935 -6.3828 0.0056
1.5840 3.0000 -0.0000 -6.3861 0.0055
1.5840 4.0000 8.9935 -6.3828 0.0056
1.5840 5.0000 17.9928 -6.3732 0.0065
1.5850 1.0000 -17.9934 -6.9636 0.0064
1.5850 2.0000 -8.9937 -6.9730 0.0056
1.5850 3.0000 -0.0000 -6.9763 0.0054
1.5850 4.0000 8.9937 -6.9730 0.0056
1.5850 5.0000 17.9934 -6.9636 0.0064
1.5860 1.0000 -17.9939 -7.5553 0.0063
1.5860 2.0000 -8.9940 -7.5646 0.0055
1.5860 3.0000 -0.0000 -7.5678 0.0054
1.5860 4.0000 8.9940 -7.5646 0.0055
1.5860 5.0000 17.9939 -7.5553 0.0063
1.5870 1.0000 -17.9945 -8.1483 0.0062
1.5870 2.0000 -8.9943 -8.1574 0.0055
1.5870 3.0000 -0.0000 -8.1605 0.0054
1.5870 4.0000 8.9943 -8.1574 0.0055
1.5870 5.0000 17.9945 -8.1483 0.0062
1.5880 1.0000 -17.9950 -8.7426 0.0061
1.5880 2.0000 -8.9946 -8.7515 0.0055
1.5880 3.0000 -0.0000 -8.7546 0.0054
1.5880 4.0000 8.9946 -8.7515 0.0055
1.5880 5.0000 17.9950 -8.7426 0.0061
1.5890 1.0000 -17.9956 -9.3382 0.0061
1.5890 2.0000 -8.9948 -9.3469 0.0054
1.5890 3.0000 -0.0000 -9.3499 0.0054
1.5890 4.0000 8.9948 -9.3469 0.0054
1.5890 5.0000 17.9956 -9.3382 0.0061
1.5900 1.0000 -17.9962 -9.9351 0.0060
1.5900 2.0000 -8.9952 -9.9436 0.0054
1.5900 3.0000 -0.0000 -9.9466 0.0054
1.5900 4.0000 8.9952 -9.9436 0.0054
1.5900 5.0000 17.9962 -9.9351 0.0060
1.5910 1.0000 -17.9969 -10.5333 0.0060
1.5910 2.0000 -8.9955 -10.5417 0.0054
1.5910 3.0000 -0.0000 -10.5445 0.0054
1.5910 4.0000 8.9955 -10.5417 0.0054
1.5910 5.0000 17.9969 -10.5333 0.0060
1.5920 1.0000 -17.9975 -11.1329 0.0059
1.5920 2.0000 -8.9958 -11.1410 0.0054
1.5920 3.0000 -0.0000 -11.1438 0.0054
1.5920 4.0000 8.9958 -11.1410 0.0054
1.5920 5.0000 17.9975 -11.1329 0.0059
1.5930 1.0000 -17.9981 -11.7338 0.0059
1.5930 2.0000 -8.9961 -11.7417 0.0054
1.5930 3.0000 -0.0000 -11.7445 0.0054
1.5930 4.0000 8.9961 -11.7417 0.0054
1.5930 5.0000 17.9981 -11.7338 0.0059
1.5940 1.0000 -17.9988 -12.3361 0.0059
1.5940 2.0000 -8.9964 -12.3438 0.0054
1.5940 3.0000 -0.0000 -12.3465 0.0054
1.5940 4.0000 8.9964 -12.3438 0.0054
1.5940 5.0000 17.9988 -12.3361 0.0059
1.5950 1.0000 -17.9995 -12.9397 0.0058
1.5950 2.0000 -8.9968 -12.9472 0.0054
1.5950 3.0000 -0.0000 -12.9498 0.0054
1.5950 4.0000 8.9968 -12.9472 0.0054
1.5950 5.0000 17.9995 -12.9397 0.0058
1.5960 1.0000 -18.0002 -13.5447 0.0058
1.5960 2.0000 -8.9971 -13.5520 0.0054
1.5960 3.0000 0.0000 -13.5545 0.0054
1.5960 4.0000 8.9971 -13.5520 0.0054
1.5960 5.0000 18.0002 -13.5447 0.0058
1.5970 1.0000 -18.0009 -14.1510 0.0058
1.5970 2.0000 -8.9975 -14.1582 0.0054
1.5970 3.0000 0.0000 -14.1606 0.0054
1.5970 4.0000 8.9975 -14.1582 0.0054
1.5970 5.0000 18.0009 -14.1510 0.0058
1.5980 1.0000 -18.0016 -14.7588 0.0058
1.5980 2.0000 -8.9978 -14.7657 0.0054
1.5980 3.0000 0.0000 -14.7681 0.0054
1.5980 4.0000 8.9978 -14.7657 0.0054
1.5980 5.0000 18.0016 -14.7588 0.0058
1.5990 1.0000 -18.0024 -15.3680 0.0058
1.5990 2.0000 -8.9982 -15.3747 0.0054
1.5990 3.0000 0.0000 -15.3770 0.0054
1.5990 4.0000 8.9982 -15.3747 0.0054
1.5990 5.0000 18.0024 -15.3680 0.0058
1.6000 1.0000 -18.0032 -15.9786 0.0057
1.6000 2.0000 -8.9986 -15.9851 0.0054
1.6000 3.0000 0.0000 -15.9873 0.0055
1.6000 4.0000 8.9986 -15.9851 0.0054
1.6000 5.0000 18.0032 -15.9786 0.0057
1.6010 1.0000 -18.0040 -16.5906 0.0057
1.6010 2.0000 -8.9990 -16.5969 0.0054
1.6010 3.0000 0.0000 -16.5991 0.0055
1.6010 4.0000 8.9990 -16.5969 0.0054
1.6010 5.0000 18.0040 -16.5906 0.0057
1.6020 1.0000 -18.0048 -17.2041 0.0057
1.6020 2.0000 -8.9994 -17.2101 0.0054
1.6020 3.0000 0.0000 -17.2123 0.0055
1.6020 4.0000 8.9994 -17.2101 0.0054
1.6020 5.0000 18.0048 -17.2041 0.0057
1.6030 1.0000 -18.0056 -17.8190 0.0057
1.6030 2.0000 -8.9998 -17.8248 0.0054
1.6030 3.0000 0.0000 -17.8269 0.0055
1.6030 4.0000 8.9998 -17.8248 0.0054
1.6030 5.0000 18.0056 -17.8190 0.0057
1.6040 1.0000 -18.0064 -18.4354 0.0057
1.6040 2.0000 -9.0002 -18.4410 0.0054
1.6040 3.0000 0.0000 -18.4430 0.0055
1.6040 4.0000 9.0002 -18.4410 0.0054
1.6040 5.0000 18.0064 -18.4354 0.0057
1.6050 1.0000 -18.0073 -19.0532 0.0057
1.6050 2.0000 -9.0006 -19.0586 0.0054
1.6050 3.0000 0.0000 -19.0606 0.0055
