# ID  CHIPNUM  XPIX  WAVE   WAVE_ERR   FLUX  NAME USEWAVE
    1   3 2097.26  15125.4956  2.0      9.62   UI    1
    2   3 2095.82  15125.9949  3.0      1.83   UI    1
    3   3 2093.50  15126.7993  1.0     26.52   UI    1
    4   3 2092.91  15127.0020  2.0      6.48   UI    1
    5   3 2091.56  15127.4707  3.0      2.11   UI    1
    6   3 2089.32  15128.2495  3.0      4.74   UI    1
    7   3 2085.85  15129.4507  7.0      3.24   UI    1
    8   3 2085.26  15129.6558  4.0      2.45   UI    1
    9   3 2082.83  15130.4980  2.0      5.99   UI    1
   10   3 2076.91  15132.5500  2.0      3.14   UI    1
   11   3 2073.91  15133.5876  1.0     12.89   UI    1
   12   3 2073.51  15133.7256  2.0     10.15   UI    1
   13   3 2069.89  15134.9805  2.0      4.27   UI    1
   14   3 2068.77  15135.3674  2.0     11.89   UI    1
   15   3 2064.58  15136.8176  1.0     30.37   UI    1
   16   3 2063.81  15137.0862  5.0      2.29   UI    1
   17   3 2060.54  15138.2166  3.0      3.59    ?    1
   18   3 2058.03  15139.0845  2.0      4.32   UI    1
   19   3 2048.55  15142.3657  1.0     73.78   UI    1
   20   3 2047.43  15142.7515  2.0     12.01  UII    1
   21   3 2046.04  15143.2336  2.0      9.67   UI    1
   22   3 2043.45  15144.1284  3.0      5.20   UI    1
   23   3 2038.62  15145.7971  5.0      3.11   UI    1
   24   3 2031.61  15148.2214  2.0      4.62    ?    1
   25   3 2030.86  15148.4802  2.0      3.77    ?    1
   26   3 2026.13  15150.1147  1.0     33.61   UI    1
   27   3 2024.95  15150.5200  2.0      2.49   UI    1
   28   3 2022.36  15151.4160  2.0     18.20   UI    1
   29   3 2020.20  15152.1606  1.0     19.23   UI    1
   30   3 2018.08  15152.8943  1.0     41.87   UI    1
   31   3 2017.49  15153.0969  2.0      4.22    ?    1
   32   3 2016.95  15153.2825  2.0     40.52   UI    1
   33   3 2014.78  15154.0308  1.0     84.46   UI    1
   34   3 2013.65  15154.4226  2.0      3.84   UI    1
   35   3 2011.01  15155.3345  2.0     35.52   UI    1
   36   3 2007.22  15156.6394  1.0    224.52   UI    1
   37   3 1992.69  15161.6516  2.0      4.59    ?    1
   38   3 1985.04  15164.2883  2.0      7.55   UI    1
   39   3 1983.49  15164.8206  4.0      1.95   UI    1
   40   3 1980.65  15165.7996  1.0     12.61   UI    1
   41   3 1977.28  15166.9604  2.0      8.14   UI    1
   42   3 1969.78  15169.5410  1.0     16.26   UI    1
   43   3 1957.80  15173.6646  1.0     13.31   UI    1
   44   3 1953.54  15175.1318  1.0      9.05   UI    1
   45   3 1950.68  15176.1133  1.0     28.04    ?    1
   46   3 1948.58  15176.8372  1.0   3801.94   Ar    1
   47   3 1946.64  15177.5037  3.0      6.62   UI    1
   48   3 1942.51  15178.9209  2.0      6.19   UI    1
   49   3 1938.30  15180.3687  2.0     15.37    ?    1
   50   3 1935.66  15181.2744  2.0     10.33   UI    1
   51   3 1932.08  15182.5073  2.0      5.92   UI    1
   52   3 1930.57  15183.0261  3.0      3.82   UI    1
   53   3 1929.09  15183.5315  3.0      3.47   UI    1
   54   3 1927.01  15184.2480  1.0      9.45   UI    1
   55   3 1924.23  15185.2014  4.0      2.58   UI    1
   56   3 1922.50  15185.7959  1.0     54.71   UI    1
   57   3 1920.39  15186.5210  2.0      8.74    ?    1
   58   3 1919.09  15186.9666  2.0     20.23   UI    1
   59   3 1917.60  15187.4756  2.0      4.81    ?    1
   60   3 1916.59  15187.8247  1.0      8.95   UI    1
   61   3 1916.21  15187.9529  2.0      6.14   UI    1
   62   3 1912.97  15189.0674  1.0     10.41   UI    1
   63   3 1911.61  15189.5337  4.0      4.34   UI    1
   64   3 1910.39  15189.9524  3.0      2.65   UI    1
   65   3 1903.63  15192.2681  2.0      3.41   UI    1
   66   3 1902.21  15192.7563  3.0      2.40    ?    1
   67   3 1898.56  15194.0088  2.0     11.24   UI    1
   68   3 1895.65  15195.0037  3.0      2.78    ?    1
   69   3 1893.04  15195.8984  1.0     15.77   UI    1
   70   3 1887.84  15197.6807  3.0      2.03   UI    1
   71   3 1883.01  15199.3372  2.0      9.86   UI    1
   72   3 1880.33  15200.2539  2.0     24.88    ?    1
   73   3 1879.56  15200.5164  2.0      6.91  UII    1
   74   3 1879.19  15200.6458  3.0      4.46   UI    1
   75   3 1878.27  15200.9583  2.0      6.50   UI    1
   76   3 1876.68  15201.5051  4.0      4.55   UI    1
   77   3 1875.21  15202.0056  2.0     25.10  UII    1
   78   3 1873.19  15202.6978  2.0     12.78    ?    1
   79   3 1872.57  15202.9114  2.0     32.53   UI    1
   80   3 1872.25  15203.0212  2.0     15.42   UI    1
   81   3 1871.11  15203.4119  2.0      2.31   UI    1
   82   3 1869.33  15204.0198  1.0     66.56   UI    1
   83   3 1866.77  15204.8950  1.0    317.74   UI    1
   84   3 1863.90  15205.8765  2.0      3.11    ?    1
   85   3 1860.88  15206.9116  2.0      5.34   UI    1
   86   3 1859.75  15207.2974  1.0     25.93   UI    1
   87   3 1856.01  15208.5754  3.0      1.76   UI    1
   88   3 1855.36  15208.8000  1.0     11.65    ?    1
   89   3 1852.81  15209.6704  4.0      1.73    ?    1
   90   3 1851.87  15209.9927  1.0     14.61   UI    1
   91   3 1848.57  15211.1194  2.0      6.92   UI    1
   92   3 1844.36  15212.5586  3.0      3.03   UI    1
   93   3 1843.91  15212.7124  1.0     22.48   UI    1
   94   3 1840.93  15213.7292  2.0      3.79   UI    1
   95   3 1838.19  15214.6655  3.0      1.83   UI    1
   96   3 1835.10  15215.7239  1.0     14.42  UII    1
   97   3 1832.88  15216.4819  2.0      8.85   UI    1
   98   3 1829.25  15217.7185  3.0      1.84  UII    1
   99   3 1826.55  15218.6426  2.0      7.25    ?    1
  100   3 1824.10  15219.4775  1.0     25.46  UII    1
  101   3 1819.15  15221.1682  4.0      2.28   UI    1
  102   3 1817.44  15221.7505  3.0      8.15   UI    1
  103   3 1816.70  15222.0044  2.0      7.21   UI    1
  104   3 1812.96  15223.2800  1.0     21.85   UI    1
  105   3 1812.54  15223.4241  1.0     11.49   UI    1
  106   3 1811.83  15223.6658  2.0      4.10   UI    1
  107   3 1809.49  15224.4617  2.0      4.22   UI    1
  108   3 1801.32  15227.2498  1.0     31.76   UI    1
  109   3 1800.20  15227.6294  2.0      4.56   UI    1
  110   3 1799.77  15227.7759  2.0      3.76    ?    1
  111   3 1797.65  15228.4985  3.0      2.06   UI    1
  112   3 1790.31  15230.9998  2.0     13.86   UI    1
  113   3 1788.27  15231.6956  1.0     34.72   UI    1
  114   3 1787.52  15231.9495  2.0     12.80  UII    1
  115   3 1784.34  15233.0359  4.0      1.59   UI    1
  116   3 1782.54  15233.6475  2.0      6.41   UI    1
  117   3 1780.75  15234.2578  2.0     16.44   UI    1
  118   3 1779.42  15234.7107  3.0      9.91   Ar    1
  119   3 1772.53  15237.0557  3.0      1.67   UI    1
  120   3 1771.14  15237.5281  3.0      2.63  UII    1
  121   3 1769.69  15238.0225  1.0     48.01   UI    1
  122   3 1768.63  15238.3813  1.0     14.11    ?    1
  123   3 1767.30  15238.8354  2.0      2.82   UI    1
  124   3 1766.89  15238.9746  2.0      6.63  UII    1
  125   3 1761.63  15240.7617  1.0    140.99   UI    1
  126   3 1758.26  15241.9104  2.0      1.89   UI    1
  127   3 1757.76  15242.0789  3.0      1.82   UI    1
  128   3 1752.86  15243.7451  3.0      2.43    ?    1
  129   3 1751.63  15244.1638  1.0     21.88   UI    1
  130   3 1749.56  15244.8682  2.0      5.41    ?    1
  131   3 1744.60  15246.5527  1.0      9.13    ?    1
  132   3 1738.38  15248.6646  1.0     14.72   UI    1
  133   3 1738.06  15248.7756  1.0     15.59   UI    1
  134   3 1733.68  15250.2612  2.0      4.66   UI    1
  135   3 1728.97  15251.8616  1.0     12.38   UI    1
  136   3 1720.62  15254.6948  2.0      5.68    ?    1
  137   3 1715.22  15256.5259  3.0      3.45   UI    1
  138   3 1714.47  15256.7810  1.0     50.31   UI    1
  139   3 1712.64  15257.4023  2.0      4.40   UI    1
  140   3 1708.67  15258.7476  2.0     20.14    ?    1
  141   3 1704.69  15260.0964  2.0     35.55   UI    1
  142   3 1703.29  15260.5737  1.0     46.81   UI    1
  143   3 1698.58  15262.1692  2.0      5.14   UI    1
  144   3 1694.71  15263.4814  2.0     16.97   UI    1
  145   3 1691.61  15264.5312  3.0      2.05    ?    1
  146   3 1690.89  15264.7754  2.0      9.75   UI    1
  147   3 1682.01  15267.7808  2.0      4.04   UI    1
  148   3 1678.73  15268.8904  2.0      4.16   UI    1
  149   3 1676.81  15269.5410  2.0     10.90   UI    1
  150   3 1673.67  15270.6030  3.0      4.30  UII    1
  151   3 1669.31  15272.0789  1.0     80.46   UI    1
  152   3 1664.16  15273.8208  2.0      4.75    ?    1
  153   3 1662.37  15274.4287  3.0      3.14   UI    1
  154   3 1656.67  15276.3538  3.0      3.29  UII    1
  155   3 1655.79  15276.6528  2.0     20.00    ?    1
  156   3 1651.38  15278.1421  1.0    298.43   UI    1
  157   3 1649.15  15278.8977  2.0     17.95   Ar    1
  158   3 1648.40  15279.1492  1.0      7.03   UI    1
  159   3 1645.02  15280.2905  3.0      5.57   UI    1
  160   3 1643.19  15280.9106  1.0    407.15   UI    1
  161   3 1636.69  15283.1055  3.0      1.74   UI    1
  162   3 1633.27  15284.2603  2.0      4.04   UI    1
  163   3 1629.58  15285.5066  2.0      4.67   UI    1
  164   3 1625.22  15286.9775  2.0      4.79   UI    1
  165   3 1621.92  15288.0920  2.0      5.52    ?    1
  166   3 1619.23  15289.0002  2.0     17.24   UI    1
  167   3 1617.72  15289.5093  3.0      5.98   UI    1
  168   3 1615.31  15290.3223  1.0      8.56   UI    1
  169   3 1613.07  15291.0767  3.0      6.15  UII    1
  170   3 1611.11  15291.7395  2.0      7.37   UI    1
  171   3 1610.43  15291.9666  3.0      1.92   UI    1
  172   3 1609.92  15292.1387  2.0      6.12   UI    1
  173   3 1605.02  15293.7903  1.0    238.31   UI    1
  174   3 1602.86  15294.5178  2.0      3.14   UI    1
  175   3 1602.14  15294.7620  6.0      1.54   UI    1
  176   3 1601.29  15295.0500  2.0      7.21   UI    1
  177   3 1597.53  15296.3159  3.0      2.41   UI    1
  178   3 1590.79  15298.5876  1.0     11.18   UI    1
  179   3 1590.33  15298.7415  2.0      3.56   UI    1
  180   3 1579.67  15302.3315  2.0     29.42   UI    1
  181   3 1578.27  15302.8015  5.0      2.25   UI    1
  182   3 1577.78  15302.9675  5.0      2.38   UI    1
  183   3 1575.22  15303.8281  2.0      2.47   UI    1
  184   3 1570.07  15305.5615  2.0      6.12   UI    1
  185   3 1568.58  15306.0608  2.0   4415.17   Ar    1
  186   3 1563.37  15307.8137  1.0     19.16   UI    1
  187   3 1549.32  15312.5391  5.0      4.41   UI    1
  188   3 1541.78  15315.0696  1.0    131.21   UI    1
  189   3 1540.49  15315.5029  1.0     13.90   UI    1
  190   3 1537.54  15316.4966  1.0     18.49   UI    1
  191   3 1537.00  15316.6748  3.0     10.36   UI    1
  192   3 1533.42  15317.8784  2.0      3.78    ?    1
  193   3 1530.03  15319.0161  2.0      5.74   UI    1
  194   3 1529.61  15319.1577  2.0      4.57   UI    1
  195   3 1523.07  15321.3513  2.0      3.50    ?    1
  196   3 1521.80  15321.7786  2.0     14.83   UI    1
  197   3 1516.78  15323.4619  6.0      2.79   UI    1
  198   3 1516.01  15323.7219  4.0      2.17   UI    1
  199   3 1513.84  15324.4482  2.0     12.03   UI    1
  200   3 1511.82  15325.1270  1.0     28.52   UI    1
  201   3 1507.45  15326.5918  3.0      2.70   UI    1
  202   3 1506.28  15326.9824  5.0      3.24   UI    1
  203   3 1504.49  15327.5842  2.0     14.49   UI    1
  204   3 1504.01  15327.7429  1.0    139.30   UI    1
  205   3 1502.13  15328.3728  1.0     21.02   UI    1
  206   3 1500.82  15328.8135  2.0     11.37   UI    1
  207   3 1496.43  15330.2844  2.0     11.80   UI    1
  208   3 1495.80  15330.4956  2.0      8.70   UI    1
  209   3 1494.14  15331.0510  2.0     14.11   UI    1
  210   3 1493.17  15331.3745  3.0      2.03    ?    1
  211   3 1486.72  15333.5352  1.0   1114.20   Ar    1
  212   3 1483.53  15334.6033  3.0      2.14   UI    1
  213   3 1481.02  15335.4456  2.0      8.32   UI    1
  214   3 1475.27  15337.3694  3.0      2.05   UI    1
  215   3 1471.29  15338.7012  3.0      3.12   UI    1
  216   3 1466.41  15340.3333  3.0      2.28  UII    1
  217   3 1462.93  15341.4966  3.0      2.27   UI    1
  218   3 1458.52  15342.9700  2.0      5.54   UI    1
  219   3 1457.87  15343.1873  1.0     17.38   UI    1
  220   3 1455.74  15343.9014  5.0      1.70   UI    1
  221   3 1451.95  15345.1660  4.0      1.58   UI    1
  222   3 1449.59  15345.9570  2.0      2.23   UI    1
  223   3 1447.94  15346.5076  2.0     17.05   UI    1
  224   3 1447.05  15346.8042  5.0      2.40    ?    1
  225   3 1446.32  15347.0483  2.0      2.63   UI    1
  226   3 1442.32  15348.3862  3.0      2.87  UII    1
  227   3 1441.24  15348.7463  3.0      3.92   UI    1
  228   3 1437.92  15349.8547  7.0      1.95   UI    1
  229   3 1437.37  15350.0378  4.0      2.41  UII    1
  230   3 1435.96  15350.5090  2.0      6.17   UI    1
  231   3 1434.81  15350.8923  2.0      4.87   UI    1
  232   3 1432.79  15351.5662  5.0      2.18    ?    1
  233   3 1429.37  15352.7075  3.0     21.04   Ar    1
  234   3 1427.17  15353.4412  1.0    939.47   Ar    1
  235   3 1426.02  15353.8257  2.0     31.07   UI    1
  236   3 1423.48  15354.6741  1.0      5.92   UI    1
  237   3 1422.72  15354.9268  1.0     11.86   UI    1
  238   3 1417.10  15356.8018  2.0      4.72   UI    1
  239   3 1415.53  15357.3242  1.0    650.12   Ar    1
  240   3 1413.17  15358.1116  3.0      5.99   UI    1
  241   3 1411.26  15358.7488  2.0      3.93   UI    1
  242   3 1410.19  15359.1064  3.0      2.90   UI    1
  243   3 1407.08  15360.1416  3.0      1.68   UI    1
  244   3 1400.17  15362.4451  3.0      3.92   UI    1
  245   3 1399.58  15362.6416  1.0     25.25   UI    1
  246   3 1396.30  15363.7354  1.0     23.22   UI    1
  247   3 1393.76  15364.5813  1.0      9.47   UI    1
  248   3 1389.39  15366.0376  3.0      2.71   UI    1
  249   3 1387.67  15366.6113  1.0     25.17   UI    1
  250   3 1386.81  15366.8945  3.0      1.98   UI    1
  251   3 1383.69  15367.9346  2.0     62.07   UI    1
  252   3 1382.15  15368.4473  3.0      2.26  UII    1
  253   3 1381.29  15368.7341  2.0      3.85   UI    1
  254   3 1380.53  15368.9880  5.0      3.78   UI    1
  255   3 1379.42  15369.3555  3.0      5.37   UI    1
  256   3 1377.31  15370.0598  2.0      3.91   UI    1
  257   3 1372.27  15371.7346  2.0      6.41   UI    1
  258   3 1371.44  15372.0105  2.0     10.23   UI    1
  259   3 1369.18  15372.7625  2.0      2.86  UII    1
  260   3 1368.25  15373.0725  1.0     12.76    ?    1
  261   3 1367.02  15373.4827  1.0    129.87   UI    1
  262   3 1360.26  15375.7288  6.0      1.92    ?    1
  263   3 1354.86  15377.5244  1.0     43.40   UI    1
  264   3 1351.91  15378.5059  2.0      5.37    ?    1
  265   3 1329.48  15385.9534  1.0     47.49   UI    1
  266   3 1325.26  15387.3547  2.0      8.02  UII    1
  267   3 1322.67  15388.2141  1.0    180.36   UI    1
  268   3 1321.52  15388.5950  2.0      5.48   UI    1
  269   3 1317.64  15389.8816  1.0    124.27   UI    1
  270   3 1308.85  15392.7966  2.0      3.79   UI    1
  271   3 1308.02  15393.0713  2.0      5.42   UI    1
  272   3 1307.21  15393.3398  1.0      7.82  UII    1
  273   3 1305.05  15394.0552  2.0      4.42   UI    1
  274   3 1299.39  15395.9302  6.0      3.99   Ar    1
  275   3 1295.00  15397.3865  2.0      4.00    ?    1
  276   3 1293.48  15397.8894  3.0      8.54    ?    1
  277   3 1290.96  15398.7219  2.0      2.61   UI    1
  278   3 1285.64  15400.4834  1.0     12.21    ?    1
  279   3 1283.81  15401.0913  2.0      3.31    ?    1
  280   3 1279.38  15402.5586  1.0     12.52   UI    1
  281   3 1278.07  15402.9895  2.0      7.23   UI    1
  282   3 1275.82  15403.7366  3.0      2.75   UI    1
  283   3 1273.78  15404.4104  1.0     26.18   UI    1
  284   3 1271.63  15405.1208  2.0      2.17   UI    1
  285   3 1270.97  15405.3394  3.0      4.36    ?    1
  286   3 1269.48  15405.8313  4.0      2.38   UI    1
  287   3 1267.72  15406.4160  2.0      3.67   UI    1
  288   3 1266.40  15406.8506  1.0    930.59   Ar    1
