#     WAVENUMBER        TRANSMISSION
   5750.02836875      0.99663075
   5750.04255313      0.99651045
   5750.05673751      0.99691369
   5750.07092188      0.99731912
   5750.08510626      0.99784321
   5750.09929064      0.99840149
   5750.11347502      0.99867918
   5750.12765940      0.99881978
   5750.14184377      0.99890139
   5750.15602815      0.99895250
   5750.17021252      0.99898628
   5750.18439689      0.99900934
   5750.19858128      0.99902533
   5750.21276565      0.99903644
   5750.22695003      0.99904382
   5750.24113441      0.99904831
   5750.25531879      0.99905045
   5750.26950318      0.99905047
   5750.28368753      0.99904847
   5750.29787192      0.99904445
   5750.31205630      0.99903819
   5750.32624066      0.99902933
   5750.34042504      0.99901738
   5750.35460943      0.99900131
   5750.36879379      0.99897975
   5750.38297817      0.99895035
   5750.39716256      0.99890906
   5750.41134694      0.99884908
   5750.42553130      0.99875730
   5750.43971568      0.99860790
   5750.45390007      0.99834690
   5750.46808442      0.99784716
   5750.48226881      0.99693908
   5750.49645320      0.99629333
   5750.51063758      0.99619159
   5750.52482194      0.99649856
   5750.53900635      0.99732772
   5750.55319071      0.99808290
   5750.56737506      0.99840253
   5750.58155948      0.99854339
   5750.59574383      0.99859933
   5750.60992819      0.99860285
   5750.62411261      0.99856456
   5750.63829696      0.99848254
   5750.65248132      0.99834366
   5750.66666573      0.99811865
   5750.68085009      0.99774952
   5750.69503444      0.99712022
   5750.70921886      0.99596970
   5750.72340322      0.99395909
   5750.73758757      0.99251871
   5750.75177199      0.99229377
   5750.76595634      0.99300622
   5750.78014076      0.99487296
   5750.79432511      0.99662002
   5750.80850947      0.99743578
   5750.82269388      0.99784527
   5750.83687824      0.99805437
   5750.85106260      0.99814088
   5750.86524701      0.99813315
   5750.87943137      0.99803106
   5750.89361572      0.99780622
   5750.90780014      0.99738964
   5750.92198449      0.99663246
   5750.93616885      0.99518126
   5750.95035326      0.99294325
   5750.96453762      0.99177692
   5750.97872204      0.99181636
   5750.99290639      0.99292288
   5751.00709081      0.99519460
   5751.02127516      0.99684575
   5751.03545952      0.99763798
   5751.04964387      0.99808089
   5751.06382823      0.99835277
   5751.07801270      0.99853070
   5751.09219706      0.99865325
   5751.10638142      0.99874117
   5751.12056577      0.99880617
   5751.13475013      0.99885550
   5751.14893448      0.99889376
   5751.16311896      0.99892388
   5751.17730331      0.99894806
   5751.19148767      0.99896757
   5751.20567203      0.99898343
   5751.21985638      0.99899649
   5751.23404074      0.99900726
   5751.24822521      0.99901622
   5751.26240957      0.99902364
   5751.27659392      0.99902973
   5751.29077828      0.99903473
   5751.30496264      0.99903878
   5751.31914711      0.99904195
   5751.33333147      0.99904437
   5751.34751582      0.99904609
   5751.36170018      0.99904715
   5751.37588453      0.99904769
   5751.39006889      0.99904769
   5751.40425336      0.99904717
   5751.41843772      0.99904619
   5751.43262208      0.99904468
   5751.44680643      0.99904272
   5751.46099079      0.99904032
   5751.47517514      0.99903744
   5751.48935962      0.99903409
   5751.50354397      0.99903027
   5751.51772833      0.99902589
   5751.53191268      0.99902097
   5751.54609704      0.99901551
   5751.56028152      0.99900947
   5751.57446587      0.99900278
   5751.58865023      0.99899539
   5751.60283458      0.99898723
   5751.61701894      0.99897817
   5751.63120329      0.99896826
   5751.64538777      0.99895729
   5751.65957212      0.99894519
   5751.67375648      0.99893185
   5751.68794084      0.99891702
   5751.70212519      0.99890053
   5751.71630967      0.99888219
   5751.73049402      0.99886169
   5751.74467838      0.99883865
   5751.75886273      0.99881280
   5751.77304709      0.99878362
   5751.78723145      0.99875042
   5751.80141592      0.99871256
   5751.81560028      0.99866905
   5751.82978463      0.99861879
   5751.84396899      0.99856025
   5751.85815334      0.99849150
   5751.87233770      0.99840990
   5751.88652217      0.99831204
   5751.90070653      0.99819325
   5751.91489089      0.99804698
   5751.92907524      0.99786373
   5751.94325960      0.99762960
   5751.95744407      0.99732347
   5751.97162843      0.99691220
   5751.98581278      0.99634060
   5751.99999714      0.99551277
   5752.01418161      0.99425010
   5752.02836585      0.99220195
   5752.04255033      0.98903547
   5752.05673456      0.98425555
   5752.07091904      0.97657519
   5752.08510351      0.97018934
   5752.09928775      0.96574875
   5752.11347222      0.96255319
   5752.12765646      0.96624759
   5752.14184093      0.97237138
   5752.15602541      0.97862569
   5752.17020965      0.98630095
   5752.18439412      0.99107134
   5752.19857836      0.99354167
   5752.21276283      0.99500620
   5752.22694707      0.99594327
   5752.24113154      0.99657519
   5752.25531602      0.99701883
   5752.26950026      0.99733971
   5752.28368473      0.99757665
   5752.29786897      0.99775324
   5752.31205344      0.99788588
   5752.32623792      0.99798468
   5752.34042215      0.99805642
   5752.35460663      0.99810602
   5752.36879086      0.99813605
   5752.38297534      0.99814816
   5752.39715981      0.99814289
   5752.41134405      0.99811961
   5752.42552853      0.99807719
